,sentence,sentiment_values
5263,An elegant and sly deadpan comedy .,3
5264,-- is a crime that should be punishable by chainsaw .,1
5265,"To my taste , the film 's comic characters come perilously close to being Amoses and Andys for a new generation .",2
5266,The smartest bonehead comedy of the summer .,4
5267,How I Killed My Father is one of those art house films that makes you feel like you 're watching an iceberg melt -- only it never melts .,2
5268,"The characters are interesting and the relationship between Yosuke and Saeko is worth watching as it develops , but there 's not enough to the story to fill two hours .",2
5269,Yet another Arnold vehicle that fails to make adequate use of his particular talents .,1
5270,Steadfastly uncinematic but powerfully dramatic .,3
5271,The gags are often a stitch .,3
5272,"Enormously enjoyable , high-adrenaline documentary .",4
5273,"`` Antwone Fisher '' is an earnest , by-the-numbers effort by Washington .",3
5274,"But mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .",1
5275,Do n't expect any surprises in this checklist of teamwork cliches ...,0
5276,"If you liked the 1982 film then , you 'll still like it now .",4
5277,"This film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay .",1
5278,Mildly amusing .,2
5279,But what spectacular sizzle it is !,4
5280,"It throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , `` Look at this !",3
5281,"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",3
5282,"One of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",1
5283,Even Murphy 's expert comic timing and famed charisma ca n't rescue this effort .,1
5284,A hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the Mason-Dixon line .,1
5285,Terrible .,0
5286,"Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .",1
5287,Do n't let the subtitles fool you ; the movie only proves that Hollywood no longer has a monopoly on mindless action .,1
5288,"If cinema had been around to capture the chaos of France in the 1790 's , one imagines the result would look like something like this .",3
5289,I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,4
5290,"Still , not every low-budget movie must be quirky or bleak , and a happy ending is no cinematic sin .",2
5291,Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,1
5292,"A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",3
5293,"Vividly conveys the passion , creativity , and fearlessness of one of Mexico 's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all .",4
5294,"( Ramsay ) visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .",4
5295,What could have been a neat little story about believing in yourself is swamped by heavy-handed melodrama .,1
5296,I like this movie a lot .,4
5297,"While obviously aimed at kids , The Country Bears ... should keep parents amused with its low groan-to-guffaw ratio .",3
5298,A captivating and intimate study about dying and loving ...,4
5299,"What a concept , what an idea , what a thrill ride .",4
5300,"Miyazaki 's nonstop images are so stunning , and his imagination so vivid , that the only possible complaint you could have about Spirited Away is that there is no rest period , no timeout .",4
5301,"And in truth , cruel as it may sound , he makes Arnold Schwarzenegger look like Spencer Tracy .",1
5302,"With jump cuts , fast editing and lots of pyrotechnics , Yu clearly hopes to camouflage how bad his movie is .",0
5303,A chaotic panorama that 's too busy flying a lot of metaphoric flags .,1
5304,An empty shell of an epic rather than the real deal .,1
5305,The innate theatrics that provide its thrills and extreme emotions lose their luster when flattened onscreen .,0
5306,A zinger-filled crowd-pleaser that open-minded Elvis fans ( but by no means all ) will have fun with .,4
5307,A bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .,3
5308,"Polished , well-structured film .",3
5309,"Gives us a lot to chew on , but not all of it has been properly digested .",2
5310,Some Like It Hot on the Hardwood proves once again that a man in drag is not in and of himself funny .,1
5311,Do n't let your festive spirit go this far .,1
5312,Serving Sara is little more than a mall movie designed to kill time .,1
5313,"With flashbulb editing as cover for the absence of narrative continuity , Undisputed is nearly incoherent , an excuse to get to the closing bout ... by which time it 's impossible to care who wins .",1
5314,"Never decides whether it wants to be a black comedy , drama , melodrama or some combination of the three .",1
5315,The most ingenious film comedy since Being John Malkovich .,4
5316,"Like Edward Norton in American History X , Ryan Gosling ( Murder By Numbers ) delivers a magnetic performance .",4
5317,"Several uninteresting , unlikeable people do bad things to and with each other in `` Unfaithful . ''",0
5318,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",3
5319,"Is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic Hong Kong action aesthetic ?",1
5320,I spied with my little eye ... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits,1
5321,Writer \/ director M. Night Shyamalan 's ability to pull together easily accessible stories that resonate with profundity is undeniable .,3
5322,"The tale of Tok ( Andy Lau ) , a sleek sociopath on the trail of O ( Takashi Sorimachi ) , the most legendary of Asian hitmen , is too scattershot to take hold .",1
5323,"On its icy face , the new film is a subzero version of Monsters , Inc. , without the latter 's imagination , visual charm or texture .",0
5324,"I wo n't argue with anyone who calls ` Slackers ' dumb , insulting , or childish ... but I laughed so much that I did n't mind .",2
5325,Mostly the film is just hectic and homiletic : two parts exhausting Men in Black mayhem to one part family values .,2
5326,"The faithful will enjoy this sometimes wry adaptation of V.S. Naipaul 's novel , but newcomers may find themselves stifling a yawn or two during the first hour .",2
5327,A smug and convoluted action-comedy that does n't allow an earnest moment to pass without reminding audiences that it 's only a movie .,0
5328,"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .",1
5329,Binoche and Magimel are perfect in these roles .,4
5330,"A good-natured ensemble comedy that tries hard to make the most of a bumper cast , but never quite gets off the ground .",1
5331,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .",4
5332,"The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .",2
5333,"Even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",1
5334,George Lucas returns as a visionary with a tale full of nuance and character dimension .,3
5335,"... the one thing this Wild film has that other Imax films do n't : chimps , lots of chimps , all blown up to the size of a house .",2
5336,"What begins as a seemingly brainless , bubbly romantic comedy becomes a cliche-drenched melodrama by mid-film and , by film 's end , a feminist action fantasy .",2
5337,"Frankly , it 's kind of insulting , both to men and women .",0
5338,"With Rabbit-Proof Fence , Noyce has tailored an epic tale into a lean , economical movie .",3
5339,This is an action movie with an action icon who 's been all but decommissioned .,1
5340,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .,1
5341,"A film centering on a traditional Indian wedding in contemporary New Delhi may not sound like specialized fare , but Mira Nair 's film is an absolute delight for all audiences .",4
5342,"Happily , some things are immune to the folly of changing taste and attitude .",3
5343,An impenetrable and insufferable ball of pseudo-philosophic twaddle .,1
5344,"Costner 's warm-milk persona is just as ill-fitting as Shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink Laurence Olivier .",1
5345,"A preposterous , prurient whodunit .",0
5346,Here 's yet another cool crime movie that actually manages to bring something new into the mix .,3
5347,Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,3
5348,"Haneke 's script ( from Elfriede Jelinek 's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .",0
5349,Men in Black II has sequel-itis something fierce .,1
5350,It thankfully goes easy on the reel\/real world dichotomy that ( Jaglom ) pursued with such enervating determination in Venice\/Venice .,3
5351,I watched the brainless insanity of No Such Thing with mounting disbelief .,0
5352,"Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",4
5353,Returning director Rob Minkoff ... and screenwriter Bruce Joel Rubin ... have done a fine job of updating White 's dry wit to a new age .,4
5354,"Full Frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature .",1
5355,"A charming , quirky and leisurely paced Scottish comedy -- except with an outrageous central gimmick that could have been a reject from Monty Python 's Meaning of Life .",4
5356,"Well , Jason 's gone to Manhattan and Hell , I guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) .",1
5357,"If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Carol , it might just be the movie you 're looking for .",3
5358,"Caruso sometimes descends into sub-Tarantino cuteness ... but for the most part he makes sure The Salton Sea works the way a good noir should , keeping it tight and nasty .",3
5359,Nervous breakdowns are not entertaining .,1
5360,Despite its many infuriating flaws -- not the least of which is Amy 's self-absorbed personality -- Amy 's O 's honesty will win you over .,2
5361,What really surprises about Wisegirls is its low-key quality and genuine tenderness .,3
5362,"This one is definitely one to skip , even for horror movie fanatics .",0
5363,Strident and inelegant in its ` message-movie ' posturing .,2
5364,We learn a lot about dying coral and see a lot of life on the reef .,2
5365,The niftiest trick perpetrated by The Importance of Being Earnest is the alchemical transmogrification of Wilde into Austen -- and a Hollywood-ized Austen at that .,2
5366,The big-screen Scooby makes the silly original cartoon seem smart and well-crafted in comparison .,0
5367,"Far too clever by half , Howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another .",0
5368,It trusts the story it sets out to tell .,4
5369,A cutesy romantic tale with a twist .,3
5370,Why ?,1
5371,Leigh makes these lives count .,3
5372,"Two big things are missing -- anything approaching a visceral kick , and anything approaching even a vague reason to sit through it all .",1
5373,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,3
5374,A coming-of-age movie that Hollywood would n't have the guts to make .,4
5375,There can be no other explanation .,2
5376,Perhaps the most annoying thing about Who Is Cletis Tout ?,2
5377,Me Without You has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like Divine Secrets of the Ya-Ya Sisterhood .,4
5378,It 's a scorcher .,3
5379,"Thanks to The Chateau 's balance of whimsicality , narrative discipline and serious improvisation , almost every relationship and personality in the film yields surprises .",3
5380,Simplistic fluff-ball of whimsy .,2
5381,A movie with a real anarchic flair .,3
5382,"The series ' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls ' amusing personalities .",3
5383,"This is n't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .",2
5384,"`` Mostly Martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",4
5385,Do n't even bother to rent this on video .,0
5386,"Roger Michell , who did an appealing job directing Persuasion and Notting Hill in England , gets too artsy in his American debut .",3
5387,"The off-center humor is a constant , and the ensemble gives it a buoyant delivery .",3
5388,"Well made but uninvolving , Bloodwork is n't a terrible movie , just a stultifyingly obvious one -- an unrewarding collar for a murder mystery .",1
5389,A truly wonderful tale combined with stunning animation .,4
5390,Ferrara directs the entire film with the kind of detachment that makes any given frame look like a family 's custom-made Christmas card .,2
5391,"This would-be ` James Bond for the Extreme Generation ' pic is one big , dumb action movie .",0
5392,If you 're not the target demographic ... this movie is one long chick-flick slog .,1
5393,Translation : ` We do n't need to try very hard . ',1
5394,"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .",3
5395,In a word : No. .,2
5396,"Skillful as he is , Mr. Shyamalan is undone by his pretensions .",2
5397,"There is no substitute for on-screen chemistry , and when Friel pulls the strings that make Williams sink into melancholia , the reaction in Williams is as visceral as a gut punch .",4
5398,A baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise .,1
5399,"It 's hard not to be seduced by ( Witherspoon 's ) charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .",3
5400,"Blade II has a brilliant director and charismatic star , but it suffers from rampant vampire devaluation .",2
5401,"Shattering , devastating documentary on two maladjusted teens in a downward narcotized spiral .",3
5402,It 's a lovely film with lovely performances by Buy and Accorsi .,3
5403,"If the plot seems a bit on the skinny side , that 's because Panic Room is interested in nothing more than sucking you in ... and making you sweat .",3
5404,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",4
5405,`` Red Dragon '' is entertaining .,4
5406,"Never lets go your emotions , taking them to surprising highs , sorrowful lows and hidden impulsive niches ... gorgeous , passionate , and at times uncommonly moving .",3
5407,I could n't recommend this film more .,3
5408,Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .,3
5409,"The film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",1
5410,It 's sort of a 21st century morality play with a Latino hip hop beat .,3
5411,The next generation of mob movie .,2
5412,"This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny .",3
5413,"Brainless , but enjoyably over-the-top , the retro gang melodrama , Deuces Wild represents fifties teen-gang machismo in a way that borders on rough-trade homo-eroticism .",1
5414,It 's no accident that The Accidental Spy is a solid action pic that returns the martial arts master to top form .,4
5415,"Drawing on an irresistible , languid romanticism , Byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",4
5416,The kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .,0
5417,There 's already been too many of these films ...,0
5418,"Sorority Boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it .",0
5419,Atom Egoyan has conjured up a multilayered work that tackles any number of fascinating issues,4
5420,Its one-sidedness ... flirts with propaganda .,1
5421,"But it is set in a world that is very , very far from the one most of us inhabit .",2
5422,Walter Hill 's Undisputed is like a 1940s Warner Bros. .,3
5423,"Assured , vital and well wrought , the film is , arguably , the most accomplished work to date from Hong Kong 's versatile Stanley Kwan .",4
5424,The campy results make Mel Brooks ' Borscht Belt schtick look sophisticated .,3
5425,"Never Again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",3
5426,Has all the poignancy of a Hallmark card and all the comedy of a Gallagher stand-up act .,2
5427,Cinematic poo .,0
5428,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .",2
5429,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,2
5430,A sugar-coated Rocky whose valuable messages are forgotten 10 minutes after the last trombone honks .,1
5431,May be the most undeserving victim of critical overkill since Town and Country .,2
5432,"Too long , and larded with exposition , this somber cop drama ultimately feels as flat as the scruffy sands of its titular community .",1
5433,"Directors Harry Gantz and Joe Gantz have chosen a fascinating subject matter , but the couples exposing themselves are n't all that interesting .",2
5434,"A gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups .",0
5435,"Nicole Kidman evolved from star to superstar some time over the past year , which means that Birthday Girl is the kind of quirkily appealing minor movie she might not make for a while .",3
5436,"Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",4
5437,The script ?,1
5438,"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",4
5439,"Brings together some of the biggest names in Japanese anime , with impressive results .",4
5440,There 's a great deal of corny dialogue and preposterous moments .,1
5441,"Alas , getting there is not even half the interest .",0
5442,"Hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the U.S. -- a major director is emerging in world cinema .",4
5443,"It 's definitely not made for kids or their parents , for that matter , and I think even fans of Sandler 's comic taste may find it uninteresting .",1
5444,Absurdities and cliches accumulate like lint in a fat man 's navel .,0
5445,This sort of cute and cloying material is far from Zhang 's forte and it shows .,2
5446,"While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .",3
5447,"Given that both movies expect us to root for convicted violent felons over those assigned to protect us from same , we need every bit of sympathy the cons can muster ; this time , there is n't much .",1
5448,"The leads are natural and lovely , the pace is serene , the humor wry and sprightly .",4
5449,Irwin and his director never come up with an adequate reason why we should pay money for what we can get on television for free .,0
5450,"All in all , Road to Perdition is more in love with strangeness than excellence .",3
5451,The extent to which it succeeds is impressive .,3
5452,The most offensive thing about the movie is that Hollywood expects people to pay to see it .,0
5453,a compelling portrait of moral emptiness,3
5454,"Goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner Laurence Coriat do n't manage an equally assured narrative coinage .",3
5455,This insufferable movie is meant to make you think about existential suffering .,1
5456,"The issues are presented in such a lousy way , complete with some of the year 's ( unintentionally ) funniest moments , that it 's impossible to care .",0
5457,It 's the funniest American comedy since Graffiti Bridge .,4
5458,"Besides , real movie producers are n't this nice .",2
5459,"A tightly directed , highly professional film that 's old-fashioned in all the best possible ways .",3
5460,Sunshine State surveys the landscape and assesses the issues with a clear passion for sociology .,2
5461,"Still , it just sits there like a side dish no one ordered .",1
5462,"It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .",4
5463,I like it .,3
5464,What you end up getting is the Vertical Limit of surfing movies - memorable stunts with lots of downtime in between .,2
5465,"A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .",4
5466,Wins my vote for ` The 2002 Enemy of Cinema ' Award .,2
5467,Fans of Nijinsky will savor every minute of Cox 's work .,3
5468,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",4
5469,"Smart and fun , but far more witty than it is wise .",3
5470,"The Chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film .",1
5471,There 's not a comedic moment in this romantic comedy .,0
5472,Dense with characters and contains some thrilling moments .,3
5473,"What we have is a character faced with the possibility that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance .",0
5474,Merchant has n't directed this movie so much as produced it -- like sausage .,2
5475,"A bowel-curdling , heart-stopping recipe for terror .",3
5476,It 's a satisfying summer blockbuster and worth a look .,3
5477,"It 's not helpful to listen to extremist name-calling , regardless of whether you think Kissinger was a calculating fiend or just a slippery self-promoter .",1
5478,Kids who are into this Thornberry stuff will probably be in wedgie heaven .,3
5479,"Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .",3
5480,Oddly compelling .,3
5481,But fans should have fun meeting a brand-new Pokemon called Celebi .,3
5482,"Cold , pretentious , thoroughly dislikable study in sociopathy .",1
5483,Writer\/director Mark Romanek spotlights the underlying caste system in America .,2
5484,An awful snooze .,0
5485,How about surprising us by trying something new ?,0
5486,"Despite its title , Punch-Drunk Love is never heavy-handed .",3
5487,"Twenty years after its first release , E.T. remains the most wondrous of all Hollywood fantasies -- and the apex of Steven Spielberg 's misunderstood career .",4
5488,"A turgid little history lesson , humourless and dull .",0
5489,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,0
5490,You do n't have to be an especially tough grader to give a charitable B-minus to The Emperor 's Club .,2
5491,Like Mike is n't interested in recycling old cliches .,2
5492,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '",4
5493,"At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",4
5494,Why anyone who is not a character in this movie should care is beyond me .,0
5495,"All the sensuality , all the eroticism of a good vampire tale has been , pardon the pun , sucked out and replaced by goth goofiness .",1
5496,"There may have been a good film in `` Trouble Every Day , '' but it is not what is on the screen .",1
5497,Possibly the most irresponsible picture ever released by a major film studio .,1
5498,Really quite funny .,4
5499,Even those of a single digit age will be able to recognize that this story is too goofy ... even for Disney .,1
5500,The Master of Disguise falls under the category of ` should have been a sketch on Saturday Night Live . ',1
5501,The enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .,1
5502,"Ponderous , plodding soap opera disguised as a feature film .",1
5503,The trashy teen-sleaze equivalent of Showgirls .,1
5504,"There 's an epic here , but you have to put it together yourself .",2
5505,"Even the finest chef ca n't make a hotdog into anything more than a hotdog , and Robert De Niro ca n't make this movie anything more than a trashy cop buddy comedy .",1
5506,Big Fat Liar is just futile silliness looking to tap into the kiddie sensibilities .,1
5507,"If you love Motown music , you 'll love this documentary .",4
5508,One regards Reign of Fire with awe .,4
5509,"It 's better suited for the history or biography channel , but there 's no arguing the tone of the movie - it leaves a bad taste in your mouth and questions on your mind .",1
5510,"Just one more collection of penis , breast and flatulence gags in search of a story .",0
5511,Not even the Hanson Brothers can save it,0
5512,Spiderman ROCKS,4
5513,Blue Crush is as predictable as the tides .,1
5514,When the heroes were actually under 40 ?,2
5515,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving , effective little film .",3
5516,"Flat , but with a revelatory performance by Michelle Williams .",1
5517,"None of these characters resembles anyone you 've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter .",1
5518,"Fincher takes no apparent joy in making movies , and he gives none to the audience .",1
5519,The title 's lameness should clue you in on how bad the movie is .,0
5520,A fascinating documentary that provides a rounded and revealing overview of this ancient holistic healing system,4
5521,There 's no point in extracting the bare bones of Byatt 's plot for purposes of bland Hollywood romance .,1
5522,"A little uneven to be the cat 's meow , but it 's good enough to be the purr .",3
5523,Just a collection of this and that -- whatever fills time -- with no unified whole .,1
5524,"In a summer of clones , Harvard Man is something rare and riveting : a wild ride that relies on more than special effects .",4
5525,"It 's a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary .",0
5526,"From the dull , surreal ache of mortal awareness emerges a radiant character portrait .",3
5527,Looks and feels like a project better suited for the small screen .,1
5528,"This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",1
5529,"Colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor .",4
5530,Viewing this underdramatized but overstated film is like watching a transcript of a therapy session brought to humdrum life by some Freudian puppet .,2
5531,"No French people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",0
5532,... although this idea is `` new '' the results are tired .,1
5533,Every child 's story is what matters .,2
5534,- spy action flick with Antonio Banderas and Lucy Liu never comes together .,0
5535,"We get light showers of emotion a couple of times , but then -- strangely -- these wane to an inconsistent and ultimately unsatisfying drizzle .",2
5536,"With all the sympathy , empathy and pity fogging up the screen ... His Secret Life enters the land of unintentional melodrama and tiresome love triangles .",1
5537,Gets better after Foster leaves that little room .,3
5538,"... the same tired old gags , modernized for the extreme sports generation .",2
5539,"Painful , horrifying and oppressively tragic , this film should not be missed .",4
5540,Davis ... is so enamored of her own creation that she ca n't see how insufferable the character is .,1
5541,"There 's just no currency in deriding James Bond for being a cliched , doddering , misogynistic boy 's club .",2
5542,Buy popcorn .,2
5543,"Tense , terrific , sweaty-palmed fun .",3
5544,"It 's about following your dreams , no matter what your parents think .",3
5545,"Choppy , overlong documentary about ` The Lifestyle . '",1
5546,"This enthralling documentary ... is at once playful and haunting , an in-depth portrait of an iconoclastic artist who was fundamentally unknowable even to his closest friends .",4
5547,"Never quite transcends jokester status ... and the punchline does n't live up to Barry 's dead-eyed , perfectly chilled delivery .",1
5548,The very definition of what critics have come to term an `` ambitious failure . '',1
5549,"There is a beautiful , aching sadness to it all .",3
5550,I have to admit that I am baffled by Jason X.,1
5551,I 'd have to say the star and director are the big problems here .,1
5552,"Does n't deliver a great story , nor is the action as gripping as in past Seagal films .",1
5553,"Not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined TV amiability that Allen personifies .",1
5554,"After Collateral Damage , you might imagine that most every aggrieved father cliche has been unturned .",0
5555,... understands that a generation defines its music as much as the music defines a generation .,2
5556,No surprises .,1
5557,One of the film 's most effective aspects is its Tchaikovsky soundtrack of neurasthenic regret .,2
5558,"I ca n't begin to tell you how tedious , how resolutely unamusing , how thoroughly unrewarding all of this is , and what a reckless squandering of four fine acting talents ...",0
5559,"An often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century .",3
5560,"Impossible as it may sound , this film 's heart is even more embracing than Monty , if only because it accepts nasty behavior and severe flaws as part of the human condition .",4
5561,"Reign of Fire is hardly the most original fantasy film ever made -- beyond Road Warrior , it owes enormous debts to Aliens and every previous dragon drama -- but that barely makes it any less entertaining .",3
5562,I cry for I Spy -- or I would if this latest and laziest imaginable of all vintage-TV spinoffs were capable of engendering an emotional response of any kind .,0
5563,It 's crap on a leash -- far too polite to scale the lunatic heights of Joe Dante 's similarly styled Gremlins .,0
5564,"The impulses that produced this project ... are commendable , but the results are uneven .",2
5565,It seems Grant does n't need the floppy hair and the self-deprecating stammers after all .,2
5566,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations",0
5567,"With its jerky hand-held camera and documentary feel , Bloody Sunday is a sobering recount of a very bleak day in Derry .",2
5568,"While surprisingly sincere , this average little story is adorned with some awesome action photography and surfing .",3
5569,A quiet family drama with a little bit of romance and a dose of darkness .,3
5570,( Hell is ) looking down at your watch and realizing Serving Sara is n't even halfway through .,0
5571,... Hudlin is stuck trying to light a fire with soggy leaves .,1
5572,The film is often filled with a sense of pure wonderment and excitement not often seen in today 's cinema du sarcasm,4
5573,Feel free to go get popcorn whenever he 's not onscreen .,0
5574,"You wo n't like Roger , but you will quickly recognize him .",1
5575,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,3
5576,"It 's surprisingly decent , particularly for a tenth installment in a series .",3
5577,Shallow .,1
5578,Scott delivers a terrific performance in this fascinating portrait of a modern Lothario .,4
5579,Less a heartfelt appeal for the handicapped than a nice Belgian waffle .,2
5580,"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",4
5581,The rollerball sequences feel sanitised and stagey .,1
5582,The package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .,1
5583,"Full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",4
5584,"Land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .",3
5585,It turns out to be smarter and more diabolical than you could have guessed at the beginning .,4
5586,It 's a trifle .,2
5587,One big blustery movie where nothing really happens .,1
5588,"Driven by a fantastic dual performance from Ian Holm ... the film is funny , insightfully human and a delightful lark for history buffs .",4
5589,Bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .,4
5590,Their contrast is neither dramatic nor comic -- it 's just a weird fizzle .,1
5591,Nothing plot-wise is worth e-mailing home about .,1
5592,"He can scale a building like a super hero , he can out-stealth any agent , he 'll get the girl .",2
5593,"We could have expected a little more human being , and a little less product .",2
5594,"However , it 's pleasant enough and its ecological , pro-wildlife sentiments are certainly welcome .",3
5595,"Shunji Iwai 's All About Lily Chou Chou is a beautifully shot , but ultimately flawed film about growing up in Japan .",1
5596,that works .,3
5597,"It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .",3
5598,Fans of so-bad-they 're - good cinema may find some fun in this jumbled mess .,2
5599,Eight Legged Freaks wo n't join the pantheon of great monster\/science fiction flicks that we have come to love ...,1
5600,The movie is so thoughtlessly assembled .,3
5601,"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",4
5602,Eric Schweig and Graham Greene both exude an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters .,4
5603,"Tadpole is emblematic of the witless ageism afflicting films : Young is cool , and too young is too cool .",2
5604,We want the funk - and this movie 's got it .,3
5605,"It 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics .",3
5606,... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,1
5607,"The real star of this movie is the score , as in the songs translate well to film , and it 's really well directed .",3
5608,"All comedy is subversive , but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad .",0
5609,And if The Hours wins ` Best Picture ' I just might .,3
